362 181 
-0.941643 1.679045 0.000000 
-0.901918 -2.677735 0.000000 
-0.895221 2.247151 0.000000 
-0.873554 2.789193 0.000000 
-0.827361 -2.964464 0.000000 
-0.796077 -1.924404 0.000000 
-0.794027 -0.271107 0.000000 
-0.793526 0.276001 0.000000 
-0.793082 -0.818847 0.000000 
-0.791599 -1.368897 0.000000 
-0.790532 0.824694 0.000000 
-0.789618 1.381843 0.000000 
-0.784519 1.934236 0.000000 
-0.773127 -2.434134 0.000000 
-0.680704 2.547812 0.000000 
-0.635482 -0.545423 0.000000 
-0.635292 0.547735 0.000000 
-0.634912 0.001721 0.000000 
-0.634857 -1.647531 0.000000 
-0.634457 1.643283 0.000000 
-0.633951 1.096444 0.000000 
-0.633721 -1.094307 0.000000 
-0.623661 -2.180325 0.000000 
-0.623402 2.196384 0.000000 
-0.602609 -2.726989 0.000000 
-0.551861 2.867997 0.000000 
-0.542346 -3.031377 0.000000 
-0.478177 1.904008 0.000000 
-0.477669 1.361621 0.000000 
-0.476796 0.818431 0.000000 
-0.476607 0.273792 0.000000 
-0.476585 -0.272284 0.000000 
-0.475963 -0.819808 0.000000 
-0.475892 -1.371068 0.000000 
-0.469851 -1.915862 0.000000 
-0.457113 -2.465588 0.000000 
-0.443072 2.411056 0.000000 
-0.345059 2.677453 0.000000 
-0.321212 1.624562 0.000000 
-0.318751 1.085859 0.000000 
-0.318221 0.544955 0.000000 
-0.317754 -0.545994 0.000000 
-0.317653 0.000357 0.000000 
-0.317500 -1.095047 0.000000 
-0.314850 -1.643759 0.000000 
-0.306938 -2.198913 0.000000 
-0.306066 -2.770254 0.000000 
-0.304076 2.144659 0.000000 
-0.263519 -3.069212 0.000000 
-0.182847 2.913615 0.000000 
-0.161192 1.351279 0.000000 
-0.159093 0.814579 0.000000 
-0.159035 0.272445 0.000000 
-0.158922 -0.820151 0.000000 
-0.158841 -0.272895 0.000000 
-0.158186 -1.368650 0.000000 
-0.156506 1.877429 0.000000 
-0.155141 -1.923436 0.000000 
-0.151268 -2.495154 0.000000 
-0.149458 2.424653 0.000000 
-0.000000 2.686726 0.000000 
-0.000000 -3.080808 0.000000 
-0.000000 -1.645043 0.000000 
-0.000000 -1.093825 0.000000 
-0.000000 -2.209663 0.000000 
-0.000000 -0.546443 0.000000 
0.000000 0.000000 0.000000 
0.000000 -2.792791 0.000000 
0.000000 2.149541 0.000000 
0.000000 0.543566 0.000000 
0.000000 1.083691 0.000000 
0.000000 1.610868 0.000000 
0.149458 2.424653 0.000000 
0.151268 -2.495154 0.000000 
0.155141 -1.923436 0.000000 
0.156506 1.877429 0.000000 
0.158186 -1.368650 0.000000 
0.158840 -0.272895 0.000000 
0.158922 -0.820151 0.000000 
0.159035 0.272445 0.000000 
0.159093 0.814580 0.000000 
0.161192 1.351279 0.000000 
0.182847 2.913615 0.000000 
0.263519 -3.069212 0.000000 
0.304076 2.144660 0.000000 
0.306066 -2.770254 0.000000 
0.306938 -2.198913 0.000000 
0.314850 -1.643759 0.000000 
0.317500 -1.095047 0.000000 
0.317653 0.000357 0.000000 
0.317754 -0.545994 0.000000 
0.318221 0.544955 0.000000 
0.318751 1.085859 0.000000 
0.321212 1.624562 0.000000 
0.345059 2.677453 0.000000 
0.443071 2.411057 0.000000 
